SMILES,fragment_method-keywords,fragment_method-name,fragment_submitter_name,fragment_submitter_email,fragment_submitter_institution,fragment_method-date,fragment_reference_XChem,fragment_reference_vcid,fragment_reference_SMILES,fragment_notes
NCc1ccc(NS(=O)(=O)C[C@@H]2CCCO2)cc1,"STRIFE,de-novo,AI,analog-by-catalog",STRIFE - fragment elaboration new frags,Lucy Vost,lucy.vost@gtc.ox.ac.uk,University of Oxford,2023-08-28,x1084,ASAP-VC-13611,CS(=O)(=O)Nc1ccc(CN)cc1,LucyVost-STRIFE-fragmentelaborationnewfrags
CCc1ccc(NS(=O)(=O)C[C@@H]2CCCO2)cc1,"STRIFE,de-novo,AI,analog-by-catalog",STRIFE - fragment elaboration new frags,Lucy Vost,lucy.vost@gtc.ox.ac.uk,University of Oxford,2023-08-28,x1084,ASAP-VC-13611,CS(=O)(=O)Nc1ccc(CN)cc1,LucyVost-STRIFE-fragmentelaborationnewfrags
N#Cc1ccc(NS(=O)(=O)C[C@@H]2CCCO2)cc1,"STRIFE,de-novo,AI,analog-by-catalog",STRIFE - fragment elaboration new frags,Lucy Vost,lucy.vost@gtc.ox.ac.uk,University of Oxford,2023-08-28,x1084,ASAP-VC-13611,CS(=O)(=O)Nc1ccc(CN)cc1,LucyVost-STRIFE-fragmentelaborationnewfrags
C#Cc1ccc(NS(=O)(=O)C[C@@H]2CCCO2)cc1,"STRIFE,de-novo,AI,analog-by-catalog",STRIFE - fragment elaboration new frags,Lucy Vost,lucy.vost@gtc.ox.ac.uk,University of Oxford,2023-08-28,x1084,ASAP-VC-13611,CS(=O)(=O)Nc1ccc(CN)cc1,LucyVost-STRIFE-fragmentelaborationnewfrags
CCc1ccc(CS(=O)(=O)C[C@@H]2CCCO2)cc1,"STRIFE,de-novo,AI,analog-by-catalog",STRIFE - fragment elaboration new frags,Lucy Vost,lucy.vost@gtc.ox.ac.uk,University of Oxford,2023-08-28,x1084,ASAP-VC-13611,CS(=O)(=O)Nc1ccc(CN)cc1,LucyVost-STRIFE-fragmentelaborationnewfrags
CCc1ccc(OS(=O)(=O)C[C@@H]2CCCO2)cc1,"STRIFE,de-novo,AI,analog-by-catalog",STRIFE - fragment elaboration new frags,Lucy Vost,lucy.vost@gtc.ox.ac.uk,University of Oxford,2023-08-28,x1084,ASAP-VC-13611,CS(=O)(=O)Nc1ccc(CN)cc1,LucyVost-STRIFE-fragmentelaborationnewfrags
COc1ccc(NS(=O)(=O)C[C@@H]2CCCO2)cc1,"STRIFE,de-novo,AI,analog-by-catalog",STRIFE - fragment elaboration new frags,Lucy Vost,lucy.vost@gtc.ox.ac.uk,University of Oxford,2023-08-28,x1084,ASAP-VC-13611,CS(=O)(=O)Nc1ccc(CN)cc1,LucyVost-STRIFE-fragmentelaborationnewfrags
CSc1ccc(NS(=O)(=O)C[C@@H]2CCCO2)cc1,"STRIFE,de-novo,AI,analog-by-catalog",STRIFE - fragment elaboration new frags,Lucy Vost,lucy.vost@gtc.ox.ac.uk,University of Oxford,2023-08-28,x1084,ASAP-VC-13611,CS(=O)(=O)Nc1ccc(CN)cc1,LucyVost-STRIFE-fragmentelaborationnewfrags
NCc1ccc(NS(=O)(=O)C[C@@H]2CCOC2)cc1,"STRIFE,de-novo,AI,analog-by-catalog",STRIFE - fragment elaboration new frags,Lucy Vost,lucy.vost@gtc.ox.ac.uk,University of Oxford,2023-08-28,x1084,ASAP-VC-13611,CS(=O)(=O)Nc1ccc(CN)cc1,LucyVost-STRIFE-fragmentelaborationnewfrags
NCc1ccc(NS(=O)(=O)C[C@H]2CCOC2)cc1,"STRIFE,de-novo,AI,analog-by-catalog",STRIFE - fragment elaboration new frags,Lucy Vost,lucy.vost@gtc.ox.ac.uk,University of Oxford,2023-08-28,x1084,ASAP-VC-13611,CS(=O)(=O)Nc1ccc(CN)cc1,LucyVost-STRIFE-fragmentelaborationnewfrags
