SMILES,fragment_method-keywords,fragment_method-name,fragment_submitter_name,fragment_submitter_email,fragment_submitter_institution,fragment_method-date,fragment_reference_XChem,fragment_reference_vcid,fragment_reference_SMILES,fragment_notes
CN1C[C@H](NCc2cnsc2Br)CCS1(=O)=O,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
CN1C[C@H](OCc2cnsc2Br)CCS1(=O)=O,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
C[C@H](C(=O)Nc1csnc1Br)S(N)(=O)=O,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
C[C@H](C(=O)Nc1cnsc1Br)S(N)(=O)=O,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
CN1CCC[C@@H]([C@H](N)c2csnc2Br)S1(=O)=O,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
O=S1(=O)CCN(Cc2nnsc2Cl)CN1,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
Cn1nnc(Br)c1CN1CCS(=O)(=O)NC1,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
Cn1nnc(Br)c1CN1CCS(=O)(=O)NC1,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
O=S1(=O)C[C@@H](NCc2csnc2Br)CCN1,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
CCN1CCC[C@@H]([C@H](Cl)c2csnc2Br)S1(=O)=O,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
NS(=O)(=O)[C@H]1CCN(Cc2cnsc2Br)C1,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
CN[C@H](c1cnsc1Br)[C@@H]1CCCN(C)S1(=O)=O,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
O=S1(=O)CCN(Cc2cnsc2Br)CN1,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
CN1C[C@H](NCc2csnc2Br)CCS1(=O)=O,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
O=S1(=O)CCN(Cc2cnsc2Br)CN1,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
CN[C@H](c1c(C)nsc1Br)[C@@H]1CCCN(C)S1(=O)=O,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
NS(=O)(=O)[C@H]1CCN(Cc2cnsc2Br)C1,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
CN1C[C@H](NCc2c(Br)nnn2C)CCS1(=O)=O,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
O=S1(=O)CC[C@H](NCc2cnsc2Br)CN1,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
CN1C[C@H](OCc2nnsc2Cl)CCS1(=O)=O,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
CCN1CCC[C@@H]([C@H](O)c2cnsc2Br)S1(=O)=O,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
CCN1CCC[C@@H]([C@H](O)c2c(C)nsc2Br)S1(=O)=O,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
CN1CCC[C@@H]([C@@H](Br)c2cnsc2Br)S1(=O)=O,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
Nc1nnc([C@@H](N)CS(N)(=O)=O)n1N,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
CN1CC[C@H]([C@@H](Br)c2csnc2Br)S1(=O)=O,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
O=S1(=O)C[C@@H](NCc2conc2Br)CCN1,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
NS(=O)(=O)[C@@H]1CCN(Cc2conc2Br)C1,"Arthor,catalog-enumeration,linker",Arthorian Quest - sulfonamide,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,University of Oxford,2023-01-01,"x1594,x1604,x1140",ASAP-VC-13680 ASAP-VC-13664 ASAP-VC-13645,NC1=NN=C2C=CC=CN12.CC1(C)OC(=O)C=2C=C(Br)C(O)=CC2O1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-ArthorianQuest-sulfonamide
