SMILES,fragment_method-keywords,fragment_method-name,fragment_submitter_name,fragment_submitter_email,fragment_submitter_institution,fragment_method-date,fragment_reference_XChem,fragment_reference_vcid,fragment_reference_SMILES,fragment_notes
Cc1cc(C(=O)NCC(C)(C)C)no1,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-05,"x1071_0AS5,x1052_1AS2",ASAP-VC-13589 ASAP-VC-13686,CS(=O)(=O)NCC(=O)N1CCCCC1.COC(=O)CNC(=O)c1cc(C)on1,MatteoFerla-Fragmenstein-Tris
COC(=O)Nc1cccc(C(=O)NC2CCN(C(=O)CCC(C)(C)C)CC2)c1,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-05,"x1071_0A,x1020_0A",ASAP-VC-13589 ASAP-VC-13593,CS(=O)(=O)NCC(=O)N1CCCCC1.CCC(=O)Nc1ccc(C)cc1O,MatteoFerla-Fragmenstein-Tris
CC(=O)Nc1cc(C(=O)NC2CCN(C(=O)CCC(C)(C)F)CC2)ccc1F,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-05,"x1071_0A,x1020_0A",ASAP-VC-13589 ASAP-VC-13593,CS(=O)(=O)NCC(=O)N1CCCCC1.CCC(=O)Nc1ccc(C)cc1O,MatteoFerla-Fragmenstein-Tris
CC(=O)NNC(=O)c1coc(C)c1,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-05,"x1071_0AS2,x1052_1AS3",ASAP-VC-13589 ASAP-VC-13686,CS(=O)(=O)NCC(=O)N1CCCCC1.COC(=O)CNC(=O)c1cc(C)on1,MatteoFerla-Fragmenstein-Tris
CC(=O)NC[C@H](NC(=O)Cc1ccc(=O)[nH]c1)C1CCCCC1,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-05,"x1071_0A,x1498_0A",ASAP-VC-13589 ASAP-VC-13604,CS(=O)(=O)NCC(=O)N1CCCCC1.OC=1C=CC=CN1,MatteoFerla-Fragmenstein-Tris
CC(C)(N)C#CC(=O)N1CCC(N2CCC[C@H]2C(N)=O)CC1,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-05,"x1071_0A,x1247_0AS4",ASAP-VC-13589 ASAP-VC-13629,CS(=O)(=O)NCC(=O)N1CCCCC1.Cc1cccc(NC(=O)[C@@H]2CCCN2)n1,MatteoFerla-Fragmenstein-Tris
CC(C)(C)OC(=O)[C@@H](NCCc1c[nH]nn1)C1CCCCC1,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-05,"x1071_0A,x0789_0AS1",ASAP-VC-13589 ASAP-VC-13694,CS(=O)(=O)NCC(=O)N1CCCCC1.CC1CCOC1C(=O)Nc2cnns2,MatteoFerla-Fragmenstein-Tris
COC(=O)c1cc(C(=O)NNC(C)=O)no1,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-05,"x1329_0AS3,x1052_1A",ASAP-VC-13627 ASAP-VC-13686,C[C@H]1N(S(=O)(C)=O)CCC[C@H]1C(NC)=O.COC(=O)CNC(=O)c1cc(C)on1,MatteoFerla-Fragmenstein-Tris
Cc1cc(OCC(=O)N[C@@H]2CCOc3ccc(-c4ccccc4)cc32)no1,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-05,"x2099_0A,x1052_1AS2",ASAP-VC-5892 ASAP-VC-13686,O=c1cc(-c2cccnc2)[nH]c2ccccc12.COC(=O)CNC(=O)c1cc(C)on1,MatteoFerla-Fragmenstein-Tris
CC(C)(C)CC(=O)N(CCNC(=O)c1ccncc1)C1CCCCC1,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-05,"x1071_0A,x0980_0BS4",ASAP-VC-13589 ASAP-VC-13636,CS(=O)(=O)NCC(=O)N1CCCCC1.Cc1ccc(F)cc1NC(=O)c2ccncc2,MatteoFerla-Fragmenstein-Tris
Cc1cc(CCNC(=O)c2cccc3c(=O)c(C)c(-c4ccccc4)oc23)[nH]n1,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-05,"x2099_0A,x1052_1AS2",ASAP-VC-5892 ASAP-VC-13686,O=c1cc(-c2cccnc2)[nH]c2ccccc12.COC(=O)CNC(=O)c1cc(C)on1,MatteoFerla-Fragmenstein-Tris
CC(=O)NCC(=O)N1CCC2(CCC(O)CC2)CC1,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-05,"x1071_0A,x1083_0A",ASAP-VC-13589 ASAP-VC-13605,CS(=O)(=O)NCC(=O)N1CCCCC1.CS(=O)(=O)N1CCC(O)CC1,MatteoFerla-Fragmenstein-Tris
