SMILES,fragment_method-keywords,fragment_method-name,fragment_submitter_name,fragment_submitter_email,fragment_submitter_institution,fragment_method-date,fragment_reference_XChem,fragment_reference_vcid,fragment_reference_SMILES,fragment_notes
CC(=O)NC[C@H](NC(=O)Cc1ccc(=O)[nH]c1)C1CCCCC1,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris_P1-ridge,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-06,"x1071_0A,x1498_0A",ASAP-VC-13589 ASAP-VC-13604,CS(=O)(=O)NCC(=O)N1CCCCC1.OC=1C=CC=CN1,MatteoFerla-Fragmenstein-Tris_P1-ridge
NC(=NCCc1ccc(O)cc1)N1CCOCC1,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris_P1-ridge,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-06,"x1071_0AS4,x1498_0A",ASAP-VC-13589 ASAP-VC-13604,CS(=O)(=O)NCC(=O)N1CCCCC1.OC=1C=CC=CN1,MatteoFerla-Fragmenstein-Tris_P1-ridge
NC(=O)c1ccc(CNc2ccc3c(c2)OCC3)cc1,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris_P1-ridge,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-06,"x0771_1AS1,x1140_0AS2",ASAP-VC-13641 ASAP-VC-13645,NC(=O)c1ccc2NCCc2c1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-Fragmenstein-Tris_P1-ridge
O=C(O)c1ccc2c(c1)CC[C@H]2NCc1ccc2c(c1)OCCO2,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris_P1-ridge,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-06,"x0771_1A,x1140_0AS4",ASAP-VC-13641 ASAP-VC-13645,NC(=O)c1ccc2NCCc2c1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-Fragmenstein-Tris_P1-ridge
O=C(NCCc1ccc(O)cc1)NCc1ccc2occc2c1,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris_P1-ridge,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-06,"x1919_0AS2,x1498_0A",ASAP-VC-6113 ASAP-VC-13604,CCCOCCS(=O)(=O)NCc1ccc2c(c1)OCO2.OC=1C=CC=CN1,MatteoFerla-Fragmenstein-Tris_P1-ridge
CCCOCCC(=O)NCCc1ccc(O)cc1,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris_P1-ridge,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-06,"x1919_0AS10,x1498_0A",ASAP-VC-6113 ASAP-VC-13604,CCCOCCS(=O)(=O)NCc1ccc2c(c1)OCO2.OC=1C=CC=CN1,MatteoFerla-Fragmenstein-Tris_P1-ridge
COc1cc(C(=O)O)cc(NS(C)(=O)=O)c1Cl,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris_P1-ridge,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-06,"x0771_1A,x1140_0AS3",ASAP-VC-13641 ASAP-VC-13645,NC(=O)c1ccc2NCCc2c1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-Fragmenstein-Tris_P1-ridge
NC(=O)c1cccc(NC(=O)NCc2ccc3occc3c2)c1,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris_P1-ridge,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-06,"x0771_1AS1,x1140_0A",ASAP-VC-13641 ASAP-VC-13645,NC(=O)c1ccc2NCCc2c1.CCS(=O)(=O)NCc1ccc2OCOc2c1,MatteoFerla-Fragmenstein-Tris_P1-ridge
O=C(NCCc1ccc(O)cc1)NCc1ccc2ccoc2c1,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris_P1-ridge,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-06,"x1919_0AS2,x1498_0A",ASAP-VC-6113 ASAP-VC-13604,CCCOCCS(=O)(=O)NCc1ccc2c(c1)OCO2.OC=1C=CC=CN1,MatteoFerla-Fragmenstein-Tris_P1-ridge
Cc1cc(NC(=O)CN[C@]2(C)CCOC2=O)no1,"Fragmenstein,de-novo,merger,analog-by-catalog,linker",Fragmenstein-Tris_P1-ridge,Matteo Ferla,matteo.ferla@stats.ox.ac.uk,Nowehere,2023-09-06,"x2149_0AS2,x1052_1AS2",ASAP-VC-7470 ASAP-VC-13686,Cc1csc(CN[C@H]2CCNC2=O)n1.COC(=O)CNC(=O)c1cc(C)on1,MatteoFerla-Fragmenstein-Tris_P1-ridge
